id,user_question,title,content_problem
4095,"감정평가 업무를 위한 건축물현황도면 열람·발급 제도 개선 요청

1. 부동산의 특성상 필수적인 위치 확인이 어려워 평가 정확성이 저하됨 부동산은 개별성이 강해 동일 지역 내에서도 위치·배치·접근성 등의 차이에 따라 가치가 크게 달라집니다. 그럼에도 실거래사례 및 비교사례의 건축물현황도면을 충분히 확인하기 어렵다 보니, 사례의 실제 위치와 구조를 정확히 파악하기가 어렵고 감정평가의 정확성이 저하되는 문제가 있습니다. 2. 과도한 발급 소요 시간으로 인한 업무 지연 현행 제도는 건축물현황도면 발급을 평가 대상 건축물에 한정하고 있으며, 발급까지 하루 이상이 소요됩니다. 이로 인해 감정평가 업무가 반복적으로 지연되고 일정 관리에 큰 어려움이 발생합니다. 3. 도면 발급의 누락·오류 가능성으로 인한 정확성 저해 현행 발급 절차에서는 도면 정보가 부정확하게 제공되거나 일부 누락되는 사례가 발생할 수 있어, 이를 보완하기 위한 추가적인 확인 작업이 필요하며 업무 부담과 평가 위험이 증가하고 있습니다.",감정평가 업무를 위한 건축물현황도면 열람·발급 제도 개선 요청,"1. 부동산의 특성상 필수적인 위치 확인이 어려워 평가 정확성이 저하됨 부동산은 개별성이 강해 동일 지역 내에서도 위치·배치·접근성 등의 차이에 따라 가치가 크게 달라집니다. 그럼에도 실거래사례 및 비교사례의 건축물현황도면을 충분히 확인하기 어렵다 보니, 사례의 실제 위치와 구조를 정확히 파악하기가 어렵고 감정평가의 정확성이 저하되는 문제가 있습니다. 2. 과도한 발급 소요 시간으로 인한 업무 지연 현행 제도는 건축물현황도면 발급을 평가 대상 건축물에 한정하고 있으며, 발급까지 하루 이상이 소요됩니다. 이로 인해 감정평가 업무가 반복적으로 지연되고 일정 관리에 큰 어려움이 발생합니다. 3. 도면 발급의 누락·오류 가능성으로 인한 정확성 저해 현행 발급 절차에서는 도면 정보가 부정확하게 제공되거나 일부 누락되는 사례가 발생할 수 있어, 이를 보완하기 위한 추가적인 확인 작업이 필요하며 업무 부담과 평가 위험이 증가하고 있습니다."
4094,"대전광역시 누리집 재난·안전 → safe대전 _ 안전문화운동 항목에 '안전보안관' 신설

1. [현황] 안전보안관은 지역 사회의 안전 문화를 확산하고 생활 속 안전 위험 요소를 찾아 개선하기 위해 지자체나 관련 기관에 의해 위촉된 시민들을 말합니다. 이들은 재난안전, 교통안전, 범죄 안전 등 다양한 분야에서 안전 취약점을 신고하고, 안전 점검 활동을 수행하며, 주민 참여를 독려하는 역할 2. [문제점] 각 대전광역시 관할 구청 안전보안관 위촉 후 활동 수행 중이나, 대부분 안전보안관에 대해 홍보 부족 3. [현황] 2025년도 행정안전부 주관 안전보안관 우수활동사례 경진대회 등 단체부문 수상지역(25.11.05) - 세종특별자치시 - 경기도 - 제주특별자치도 - 전북특별자치도 등",대전광역시 누리집 재난·안전 → safe대전 _ 안전문화운동 항목에 '안전보안관' 신설,"1. [현황] 안전보안관은 지역 사회의 안전 문화를 확산하고 생활 속 안전 위험 요소를 찾아 개선하기 위해 지자체나 관련 기관에 의해 위촉된 시민들을 말합니다. 이들은 재난안전, 교통안전, 범죄 안전 등 다양한 분야에서 안전 취약점을 신고하고, 안전 점검 활동을 수행하며, 주민 참여를 독려하는 역할 2. [문제점] 각 대전광역시 관할 구청 안전보안관 위촉 후 활동 수행 중이나, 대부분 안전보안관에 대해 홍보 부족 3. [현황] 2025년도 행정안전부 주관 안전보안관 우수활동사례 경진대회 등 단체부문 수상지역(25.11.05) - 세종특별자치시 - 경기도 - 제주특별자치도 - 전북특별자치도 등"
4093,"충청남도 누리집 홈페이지 → 사회적경제 → 협동조합 현황 업데이트 제안

1. [현황] 협동조합 : 재화 또는 용역의 구매, 생산, 판매, 제공 등을 협동으로 영위함으로써 조합원의 권익을 향상하고 지역사회에 공헌하고자 하는 사업조 2. [문제점] 충청남도 충청남도 (예비)사회적기업 인증 업데이트 누락(2020.12.) 3. [문제점] 충청남도 (예비)마을기업 지정 현황 업데이트 누락(2020.12.) ※ 2026년 (예비)마을기업 모집 공고(2025.11.28) 운영 중 4. [문제점] 충청남도 협동조합(2020.12) 현황 기록 후 업데이트 누락(2020년 기준 충청남도 협동조합 현황 809개) ※ 협동조합 설립 내역 및 경영공시 홈페이지 충청남도 조회 시 1,250개 활동 중",충청남도 누리집 홈페이지 → 사회적경제 → 협동조합 현황 업데이트 제안,"1. [현황] 협동조합 : 재화 또는 용역의 구매, 생산, 판매, 제공 등을 협동으로 영위함으로써 조합원의 권익을 향상하고 지역사회에 공헌하고자 하는 사업조 2. [문제점] 충청남도 충청남도 (예비)사회적기업 인증 업데이트 누락(2020.12.) 3. [문제점] 충청남도 (예비)마을기업 지정 현황 업데이트 누락(2020.12.) ※ 2026년 (예비)마을기업 모집 공고(2025.11.28) 운영 중 4. [문제점] 충청남도 협동조합(2020.12) 현황 기록 후 업데이트 누락(2020년 기준 충청남도 협동조합 현황 809개) ※ 협동조합 설립 내역 및 경영공시 홈페이지 충청남도 조회 시 1,250개 활동 중"
4092,"정년 65세 연장 촉구 청원

.",정년 65세 연장 촉구 청원,.
4091,"자동차 급 발진 관련 제안

🚗 1. 급발진 문제 ‘현황’ ✔ ① 신고 건수는 꾸준히 존재 국토교통부·자동차안전연구원(KATRI)에는 매년 수백 건의 급발진 의심 사례가 접수됨. 블랙박스 영상만으로 판단하기 어려운 경우가 대부분이라 “의심 사례”로 남는 경우가 많음. ✔ ② 아직까지 “급발진을 공식 인정한” 사례는 매우 드묾 한국, 미국, 일본 모두 제조사 결함으로 100% 인정된 급발진 사례는 거의 없음. 대부분 결과는 “운전자의 페달 오조작 가능성이 큼” 이라는 결론. ✔ ③ 그러나 피해자는 꾸준히 증가 사고의 규모가 크고 급가속 + 제동 불능이 동시에 발생했다고 주장하는 사례들이 많음. 🚗 2. 급발진의 ‘주요 원인 논쟁’ 현재 급발진 원인은 크게 3가지로 분류됩니다. ① 전자제어(ECU)·센서 오류 가능성 현대 차량은 스로틀(가속) 제어 브레이크 제어변속기 제어 이 모두 전자식으로 이루어지는 구조입니다. 전자신호가 오류를 일으키면 가속페달을 밟지 않아도 엔진이 회전할 수 있습니다. 주요 의심 부위: TPS(스로틀 포지션 센서) APP(가속 페달 센서) CAN 통신 오류 제어기 소프트웨어 문제 전자제어장치의 간헐적 신호 불량 하지만 현재까지 대부분의 제조사는 “문제 없음”이라는 결론을 유지. ② 페달 오조작(사용자 실수) 주장 제조사와 일부 조사기관은 대부분 이렇게 결론을 내립니다. 급발진이 아니라 브레이크 대신 가속페달을 밟았다는 것. 하지만 많은 피해자는 다음을 주장합니다: 브레이크 페달이 딱딱하게 잠겼다 가속이 순간적으로 폭발적으로 증가했다 제동등이 켜지지 않았다 운전자가 침착한 상태였다 즉, 운전자 실수로 보기 어려운 사고도 존재합니다. ③ 기계적·기계식 결함 (적음) 과거 카뷰레터 차량에서는 기계식 고장이 실제 존재했지만 현대 전자식 차량에서는 순수 기계적 원인 비율은 매우 낮은 편. 🚗 3. 급발진 조사 방식의 ‘문제점’ 한국·미국 모두 급발진 조사가 “결함을 밝히기 어렵게” 되어 있습니다. ① 사고 후 차량이 파손되면 원인 분석 불가 대부분 급발진 사고는전손,화재,파손,상태가 심해 부품 분석 자체가 불가능합니다. 그 결과: > “결함을 확인할 수 없음 → 결함 아니다” 라는 결론으로 이어짐. ② 전자제어 시스템의 순간 오류는 ‘기록에 남지 않음’ 전자제어장치(ECU)는 일시적인 오류, 미세한 신호 불량, 센서 불량 등이 생겨도 대부분 자체 진단 코드(DTC) 를 남기지 않습니다. 즉:오류는 발생했는데 기록이 없다 기록이 없으니 입증이 불가 이것이 급발진 입증의 가장 큰 난제입니다. ③ 제조사와 조사기관의 이해관계 국가의 자동차 산업이 제조사 중심으로 움직이므로 국가 조사기관이“제조사 결함이다”라고 쉽게 발표하기 어려운 구조. 그 결과 소비자는 반복적으로 피해를 입지만 제조사는 거의 책임을 지지 않는 구조가 지속. ④ 운전자 과실(오조작) 판단이 너무 쉽게 내려짐 블랙박스 영상만 보고 운전자 발 움직임만 추정하여 대부분 “오조작” 결론 그러나 실제 전문가는 이렇게 말합니다: > 운전자의 페달 오조작 여부는 사고 당사자의 발 움직임뿐 아니라 차량 반응, 제동 시스템, 엔진 회전, 미끄럼 흔적 등을 모두 종합해 판단해야 한다. 현재는 이런 종합 분석 시스템이 미흡합니다. 🚗 4. 급발진 사고의 ‘문제점 요약’ ❌ 기술적 문제 ECU·센서 오류가 기록에 남지 않음 전자제어 소프트웨어 분석 불가 사고 차량 파손으로 데이터 손실 ❌ 제도적 문제 제조사 중심의 구조 사고 분석 인력·기술 부족 운전자 과실로 몰기 쉬움 엄격한 결함 인정 기준 소비자 보호 약함 ❌ 사회적 문제 급발진 피해자 증가 제조사의 책임 회피 소비자 불신 증가 법적 소송 비용이 막대해 개인이 대응 어려움 🚗 5. 결론: “명확한 원인이 밝혀지지 않는 것이 가장 큰 문제” 국가기관·제조사·학계 모두 급발진의 정확한 원인을 밝혀낸 사례가 거의 없습니다. 왜냐하면: 사고는 순간 발생 데이터는 남지 않음 부품은 파손됨 제조사는 부정 국가는 침묵 그래서 급발진은 “존재하되 증명되지 않는 현상” 으로 남아 있는 것입니다",자동차 급 발진 관련 제안,"🚗 1. 급발진 문제 ‘현황’ ✔ ① 신고 건수는 꾸준히 존재 국토교통부·자동차안전연구원(KATRI)에는 매년 수백 건의 급발진 의심 사례가 접수됨. 블랙박스 영상만으로 판단하기 어려운 경우가 대부분이라 “의심 사례”로 남는 경우가 많음. ✔ ② 아직까지 “급발진을 공식 인정한” 사례는 매우 드묾 한국, 미국, 일본 모두 제조사 결함으로 100% 인정된 급발진 사례는 거의 없음. 대부분 결과는 “운전자의 페달 오조작 가능성이 큼” 이라는 결론. ✔ ③ 그러나 피해자는 꾸준히 증가 사고의 규모가 크고 급가속 + 제동 불능이 동시에 발생했다고 주장하는 사례들이 많음. 🚗 2. 급발진의 ‘주요 원인 논쟁’ 현재 급발진 원인은 크게 3가지로 분류됩니다. ① 전자제어(ECU)·센서 오류 가능성 현대 차량은 스로틀(가속) 제어 브레이크 제어변속기 제어 이 모두 전자식으로 이루어지는 구조입니다. 전자신호가 오류를 일으키면 가속페달을 밟지 않아도 엔진이 회전할 수 있습니다. 주요 의심 부위: TPS(스로틀 포지션 센서) APP(가속 페달 센서) CAN 통신 오류 제어기 소프트웨어 문제 전자제어장치의 간헐적 신호 불량 하지만 현재까지 대부분의 제조사는 “문제 없음”이라는 결론을 유지. ② 페달 오조작(사용자 실수) 주장 제조사와 일부 조사기관은 대부분 이렇게 결론을 내립니다. 급발진이 아니라 브레이크 대신 가속페달을 밟았다는 것. 하지만 많은 피해자는 다음을 주장합니다: 브레이크 페달이 딱딱하게 잠겼다 가속이 순간적으로 폭발적으로 증가했다 제동등이 켜지지 않았다 운전자가 침착한 상태였다 즉, 운전자 실수로 보기 어려운 사고도 존재합니다. ③ 기계적·기계식 결함 (적음) 과거 카뷰레터 차량에서는 기계식 고장이 실제 존재했지만 현대 전자식 차량에서는 순수 기계적 원인 비율은 매우 낮은 편. 🚗 3. 급발진 조사 방식의 ‘문제점’ 한국·미국 모두 급발진 조사가 “결함을 밝히기 어렵게” 되어 있습니다. ① 사고 후 차량이 파손되면 원인 분석 불가 대부분 급발진 사고는전손,화재,파손,상태가 심해 부품 분석 자체가 불가능합니다. 그 결과: > “결함을 확인할 수 없음 → 결함 아니다” 라는 결론으로 이어짐. ② 전자제어 시스템의 순간 오류는 ‘기록에 남지 않음’ 전자제어장치(ECU)는 일시적인 오류, 미세한 신호 불량, 센서 불량 등이 생겨도 대부분 자체 진단 코드(DTC) 를 남기지 않습니다. 즉:오류는 발생했는데 기록이 없다 기록이 없으니 입증이 불가 이것이 급발진 입증의 가장 큰 난제입니다. ③ 제조사와 조사기관의 이해관계 국가의 자동차 산업이 제조사 중심으로 움직이므로 국가 조사기관이“제조사 결함이다”라고 쉽게 발표하기 어려운 구조. 그 결과 소비자는 반복적으로 피해를 입지만 제조사는 거의 책임을 지지 않는 구조가 지속. ④ 운전자 과실(오조작) 판단이 너무 쉽게 내려짐 블랙박스 영상만 보고 운전자 발 움직임만 추정하여 대부분 “오조작” 결론 그러나 실제 전문가는 이렇게 말합니다: > 운전자의 페달 오조작 여부는 사고 당사자의 발 움직임뿐 아니라 차량 반응, 제동 시스템, 엔진 회전, 미끄럼 흔적 등을 모두 종합해 판단해야 한다. 현재는 이런 종합 분석 시스템이 미흡합니다. 🚗 4. 급발진 사고의 ‘문제점 요약’ ❌ 기술적 문제 ECU·센서 오류가 기록에 남지 않음 전자제어 소프트웨어 분석 불가 사고 차량 파손으로 데이터 손실 ❌ 제도적 문제 제조사 중심의 구조 사고 분석 인력·기술 부족 운전자 과실로 몰기 쉬움 엄격한 결함 인정 기준 소비자 보호 약함 ❌ 사회적 문제 급발진 피해자 증가 제조사의 책임 회피 소비자 불신 증가 법적 소송 비용이 막대해 개인이 대응 어려움 🚗 5. 결론: “명확한 원인이 밝혀지지 않는 것이 가장 큰 문제” 국가기관·제조사·학계 모두 급발진의 정확한 원인을 밝혀낸 사례가 거의 없습니다. 왜냐하면: 사고는 순간 발생 데이터는 남지 않음 부품은 파손됨 제조사는 부정 국가는 침묵 그래서 급발진은 “존재하되 증명되지 않는 현상” 으로 남아 있는 것입니다"
4090,"(고용포털) 메인 화면의 '자주찾는 민원'에서 『진정신고』 항목 추가

고용노동부의 '고용포털' 홈페이지에 [자주찾는 민원] 칸이 있으며 『진정신고』 아이콘(메뉴)이 없음",(고용포털) 메인 화면의 '자주찾는 민원'에서 『진정신고』 항목 추가,고용노동부의 '고용포털' 홈페이지에 [자주찾는 민원] 칸이 있으며 『진정신고』 아이콘(메뉴)이 없음
4089,"서울시 무임승차카드(어르신, 장애인)수수료 납부 부분에 대한 개선(민원아님)

현금을 들고 다니시는 민원인분들이 많지 않기에 현금 수납을 3천원을 안내드리면 수수료 수납을 위해 ATM기기가 거리상 멀더라도 다녀오셔서 현금을 수납하셔야 하는 불편함을 겪고 있습니다.","서울시 무임승차카드(어르신, 장애인)수수료 납부 부분에 대한 개선(민원아님)",현금을 들고 다니시는 민원인분들이 많지 않기에 현금 수납을 3천원을 안내드리면 수수료 수납을 위해 ATM기기가 거리상 멀더라도 다녀오셔서 현금을 수납하셔야 하는 불편함을 겪고 있습니다.
4088,"찾아가는 심폐소생술 교육 시행(민원아님)

심정지 발생 직후 4-5분 내 뇌손상이 시작된다고 하며, 또한 신속한 CPR이 생존과 회복을 좌우한다고 함 또한 국민(시민)은 누구나 응급 상황을 대비하여 어디서든 교육을 받고자 희망하면 받을 수 있어야 한다고 생각함 바쁜일정으로 교육장을 직접 방문하여 받을 수 없는 실정임",찾아가는 심폐소생술 교육 시행(민원아님),"심정지 발생 직후 4-5분 내 뇌손상이 시작된다고 하며, 또한 신속한 CPR이 생존과 회복을 좌우한다고 함 또한 국민(시민)은 누구나 응급 상황을 대비하여 어디서든 교육을 받고자 희망하면 받을 수 있어야 한다고 생각함 바쁜일정으로 교육장을 직접 방문하여 받을 수 없는 실정임"
4087,"현행 보행자 신호등 개선 제안

현행 보행자 신호등은 이제 운전자들도 필히 볼수 있어야 하나 그 가시성이 보행자 위주로 되어있어 우회전시 특히 사고 위험에 취약합니다.",현행 보행자 신호등 개선 제안,현행 보행자 신호등은 이제 운전자들도 필히 볼수 있어야 하나 그 가시성이 보행자 위주로 되어있어 우회전시 특히 사고 위험에 취약합니다.
4086,"트럭 번호판 크기 및 색상

대형 덤프 트럭 번호판이 주황색으로 크기가 매우 작음. 먼지 등으로 낮에 번호 인식도 힘듦. 밤에는 번호판 찾기도 힘듦. 도로에서 돌빵이나 적재물 등이 떨어져도 신고하여 보상 등을 받기 어려움.",트럭 번호판 크기 및 색상,대형 덤프 트럭 번호판이 주황색으로 크기가 매우 작음. 먼지 등으로 낮에 번호 인식도 힘듦. 밤에는 번호판 찾기도 힘듦. 도로에서 돌빵이나 적재물 등이 떨어져도 신고하여 보상 등을 받기 어려움.
